Watching for file changes with StatReloader
[03/Apr/2026 18:59:43] "GET /api/health/ HTTP/1.1" 200 15
[03/Apr/2026 18:59:43,429] - Broken pipe from ('127.0.0.1', 65053)
[03/Apr/2026 19:01:30] "OPTIONS /api/accounts/signup/ HTTP/1.1" 200 178
[03/Apr/2026 19:01:46] "OPTIONS /api/accounts/login/ HTTP/1.1" 200 366
[03/Apr/2026 19:03:07] "POST /api/accounts/signup/ HTTP/1.1" 201 631
[03/Apr/2026 19:03:07,221] - Broken pipe from ('127.0.0.1', 57659)
C:\Users\ADMIN\Desktop\StartupOS\config\settings.py changed, reloading.
Watching for file changes with StatReloader
[03/Apr/2026 19:03:48] "OPTIONS /api/accounts/signup/ HTTP/1.1" 200 0
[03/Apr/2026 19:03:48,606] - Broken pipe from ('127.0.0.1', 50546)
[03/Apr/2026 19:04:44] "OPTIONS /api/accounts/signup/ HTTP/1.1" 200 0
[03/Apr/2026 19:04:45] "POST /api/accounts/signup/ HTTP/1.1" 201 671
[03/Apr/2026 19:04:51] "OPTIONS /api/accounts/login/ HTTP/1.1" 200 0
[03/Apr/2026 19:04:52] "POST /api/accounts/login/ HTTP/1.1" 200 1255
[03/Apr/2026 19:04:55] "POST /api/accounts/login/ HTTP/1.1" 200 1255
[03/Apr/2026 19:04:55] "OPTIONS /api/requests/ HTTP/1.1" 200 0
[03/Apr/2026 19:04:55] "OPTIONS /api/audit-logs/ HTTP/1.1" 200 0
[03/Apr/2026 19:04:55] "OPTIONS /api/tasks/tasks/ HTTP/1.1" 200 0
[03/Apr/2026 19:04:55] "OPTIONS /api/notifications/ HTTP/1.1" 200 0
[03/Apr/2026 19:04:55] "OPTIONS /api/audit-logs/ HTTP/1.1" 200 0
[03/Apr/2026 19:04:55] "OPTIONS /api/notifications/ HTTP/1.1" 200 0
[03/Apr/2026 19:04:55] "OPTIONS /api/notifications/ HTTP/1.1" 200 0
[03/Apr/2026 19:04:55] "OPTIONS /api/notifications/ HTTP/1.1" 200 0
[03/Apr/2026 19:04:55] "OPTIONS /api/tasks/tasks/ HTTP/1.1" 200 0
[03/Apr/2026 19:04:55] "GET /api/tasks/tasks/ HTTP/1.1" 200 52
[03/Apr/2026 19:04:55] "GET /api/notifications/ HTTP/1.1" 200 52
[03/Apr/2026 19:04:55] "GET /api/requests/ HTTP/1.1" 200 52
[03/Apr/2026 19:04:55] "GET /api/audit-logs/ HTTP/1.1" 200 375
[03/Apr/2026 19:04:55] "GET /api/tasks/tasks/ HTTP/1.1" 200 52
[03/Apr/2026 19:04:55] "GET /api/notifications/ HTTP/1.1" 200 52
[03/Apr/2026 19:04:55] "GET /api/audit-logs/ HTTP/1.1" 200 375
[03/Apr/2026 19:04:55] "GET /api/notifications/ HTTP/1.1" 200 52
[03/Apr/2026 19:04:55] "GET /api/requests/ HTTP/1.1" 200 52
[03/Apr/2026 19:04:55] "GET /api/notifications/ HTTP/1.1" 200 52
[03/Apr/2026 19:05:07] "GET /api/requests/ HTTP/1.1" 200 52
[03/Apr/2026 19:05:07] "GET /api/audit-logs/ HTTP/1.1" 200 375
[03/Apr/2026 19:05:07] "GET /api/tasks/tasks/ HTTP/1.1" 200 52
[03/Apr/2026 19:05:07] "GET /api/notifications/ HTTP/1.1" 200 52
[03/Apr/2026 19:05:07] "GET /api/tasks/tasks/ HTTP/1.1" 200 52
[03/Apr/2026 19:05:07] "GET /api/requests/ HTTP/1.1" 200 52
[03/Apr/2026 19:05:07] "GET /api/audit-logs/ HTTP/1.1" 200 375
[03/Apr/2026 19:05:07] "GET /api/notifications/ HTTP/1.1" 200 52
[03/Apr/2026 19:05:07] "GET /api/notifications/ HTTP/1.1" 200 52
[03/Apr/2026 19:05:07] "GET /api/notifications/ HTTP/1.1" 200 52
[03/Apr/2026 19:05:13] "OPTIONS /api/accounts/users/ HTTP/1.1" 200 0
[03/Apr/2026 19:05:13] "OPTIONS /api/accounts/users/ HTTP/1.1" 200 0
[03/Apr/2026 19:05:13] "GET /api/requests/ HTTP/1.1" 200 52
[03/Apr/2026 19:05:13] "GET /api/accounts/users/ HTTP/1.1" 200 535
[03/Apr/2026 19:05:13] "GET /api/requests/ HTTP/1.1" 200 52
[03/Apr/2026 19:05:13] "GET /api/accounts/users/ HTTP/1.1" 200 535
[03/Apr/2026 19:05:18] "OPTIONS /api/roles/roles/ HTTP/1.1" 200 0
[03/Apr/2026 19:05:18] "OPTIONS /api/roles/roles/ HTTP/1.1" 200 0
[03/Apr/2026 19:05:18] "GET /api/roles/roles/ HTTP/1.1" 200 52
[03/Apr/2026 19:05:18] "GET /api/accounts/users/ HTTP/1.1" 200 535
[03/Apr/2026 19:05:18] "GET /api/roles/roles/ HTTP/1.1" 200 52
[03/Apr/2026 19:05:18] "GET /api/accounts/users/ HTTP/1.1" 200 535
[03/Apr/2026 19:06:50] "OPTIONS /api/roles/permissions/ HTTP/1.1" 200 0
[03/Apr/2026 19:06:50] "OPTIONS /api/roles/permissions/ HTTP/1.1" 200 0
[03/Apr/2026 19:06:50] "GET /api/roles/roles/ HTTP/1.1" 200 52
[03/Apr/2026 19:06:50] "GET /api/roles/permissions/ HTTP/1.1" 200 1060
[03/Apr/2026 19:06:51] "GET /api/roles/roles/ HTTP/1.1" 200 52
[03/Apr/2026 19:06:51] "GET /api/roles/permissions/ HTTP/1.1" 200 1060
[03/Apr/2026 19:07:02] "POST /api/roles/roles/ HTTP/1.1" 201 165
[03/Apr/2026 19:07:02] "GET /api/roles/roles/ HTTP/1.1" 200 217
[03/Apr/2026 19:07:09] "OPTIONS /api/roles/role-permissions/ HTTP/1.1" 200 0
Bad Request: /api/roles/role-permissions/
[03/Apr/2026 19:07:09] "POST /api/roles/role-permissions/ HTTP/1.1" 400 119
Bad Request: /api/roles/role-permissions/
[03/Apr/2026 19:07:10] "POST /api/roles/role-permissions/ HTTP/1.1" 400 119
[03/Apr/2026 19:07:56] "POST /api/roles/roles/ HTTP/1.1" 201 167
[03/Apr/2026 19:07:56] "GET /api/roles/roles/ HTTP/1.1" 200 385
[03/Apr/2026 19:07:58] "GET /api/roles/roles/ HTTP/1.1" 200 385
[03/Apr/2026 19:07:58] "GET /api/roles/roles/ HTTP/1.1" 200 385
[03/Apr/2026 19:07:58] "GET /api/accounts/users/ HTTP/1.1" 200 535
[03/Apr/2026 19:07:58] "GET /api/accounts/users/ HTTP/1.1" 200 535
Bad Request: /api/accounts/users/
[03/Apr/2026 19:08:12] "POST /api/accounts/users/ HTTP/1.1" 400 50
Bad Request: /api/accounts/users/
[03/Apr/2026 19:08:13] "POST /api/accounts/users/ HTTP/1.1" 400 50
Bad Request: /api/accounts/users/
[03/Apr/2026 19:08:13] "POST /api/accounts/users/ HTTP/1.1" 400 50
[03/Apr/2026 19:09:00] "OPTIONS /api/accounts/logout/ HTTP/1.1" 200 0
[03/Apr/2026 19:09:00] "POST /api/accounts/logout/ HTTP/1.1" 205 0
[03/Apr/2026 19:09:02] "POST /api/accounts/login/ HTTP/1.1" 200 1255
[03/Apr/2026 19:09:04] "POST /api/accounts/login/ HTTP/1.1" 200 1255
[03/Apr/2026 19:09:04] "GET /api/notifications/ HTTP/1.1" 200 52
[03/Apr/2026 19:09:04] "GET /api/roles/roles/ HTTP/1.1" 200 385
[03/Apr/2026 19:09:04] "GET /api/accounts/users/ HTTP/1.1" 200 535
[03/Apr/2026 19:09:04] "GET /api/notifications/ HTTP/1.1" 200 52
[03/Apr/2026 19:09:04] "GET /api/roles/roles/ HTTP/1.1" 200 385
[03/Apr/2026 19:09:04] "GET /api/accounts/users/ HTTP/1.1" 200 535
[03/Apr/2026 19:09:09] "GET /api/roles/permissions/ HTTP/1.1" 200 1060
[03/Apr/2026 19:09:09] "GET /api/roles/roles/ HTTP/1.1" 200 385
[03/Apr/2026 19:09:09] "GET /api/roles/permissions/ HTTP/1.1" 200 1060
[03/Apr/2026 19:09:09] "GET /api/roles/roles/ HTTP/1.1" 200 385
[03/Apr/2026 19:12:01] "GET /api/roles/roles/ HTTP/1.1" 200 385
[03/Apr/2026 19:12:01] "GET /api/accounts/users/ HTTP/1.1" 200 535
[03/Apr/2026 19:12:01] "GET /api/roles/roles/ HTTP/1.1" 200 385
[03/Apr/2026 19:12:01] "GET /api/accounts/users/ HTTP/1.1" 200 535
[03/Apr/2026 19:12:02] "GET /api/tasks/tasks/ HTTP/1.1" 200 52
[03/Apr/2026 19:12:02] "GET /api/tasks/tasks/ HTTP/1.1" 200 52
C:\Users\ADMIN\Desktop\StartupOS\accounts\serializers.py changed, reloading.
Watching for file changes with StatReloader
[03/Apr/2026 19:17:05] "OPTIONS /api/tasks/projects/ HTTP/1.1" 200 0
[03/Apr/2026 19:17:05] "OPTIONS /api/tasks/projects/ HTTP/1.1" 200 0
[03/Apr/2026 19:17:05] "GET /api/tasks/tasks/ HTTP/1.1" 200 52
